tree_id,common_name,scientific_name,total_height_z_m,crown_diameter_x_m,crown_diameter_y_m,trunk_diameter_m,crown_base_height_m,crown_depth_m,crown_projected_area_m2,crown_min_m,crown_max_m,height_min_m,height_max_m,confidence,warnings
TREE-001,ANGICO BRANCO,Platypodium elegans,22.5,22.5,22.5,1.0504,4.5,18.0,397.61,18.0,27.0,18.0,27.0,medium,Recorded scientific name 'Platypodium elegans' diverges from the reference 'Anadenanthera colubrina' for 'ANGICO BRANCO'; estimate is based on the common name.
TREE-002,COPAÍBA,Copaifera langsdorffii,7.0,3.71,3.71,0.1687,2.1,4.9,10.82,2.21,5.21,5.5,8.5,medium,
TREE-003,JACARANDÁ MIMOSO,Jacaranda mimosifolia,14.5,14.5,14.5,0.5984,2.9,11.6,165.13,11.6,17.4,11.5,17.5,medium,
TREE-004,AMENDOIM DO CAMPO,Platypodium elegans,14.0,14.0,14.0,0.5761,2.8,11.2,153.94,11.2,16.8,11.0,17.0,medium,
TREE-005,IPÊ BRANCO,Tabebuia roseoalba,10.5,8.4,8.4,0.4011,3.15,7.35,55.42,6.72,10.08,8.5,12.5,medium,
TREE-006,OITI,Licania tomentosa,8.0,4.3,4.3,0.2387,2.0,6.0,14.5,2.8,5.8,6.5,9.5,medium,
TREE-007,LEUCENA,Leucaena leucocephala,9.0,4.32,4.32,0.3088,3.6,5.4,14.68,2.82,5.82,7.0,11.0,medium,
TREE-008,ESPÉCIE NÃO IDENTIFICADA,,,,,,,,,,,,,low,Species 'ESPÉCIE NÃO IDENTIFICADA' not found in parameter set; height and crown cannot be estimated. Provide parameters or overrides.
TREE-009,PITANGA,Eugenia uniflora,6.0,4.01,4.01,0.2228,1.5,4.5,12.63,2.51,5.51,5.0,7.0,medium,
TREE-010,ANGICO BRANCO,Anadenanthera colubrina,17.0,12.41,12.41,0.4966,3.4,13.6,121.06,9.93,14.9,13.5,20.5,medium,
TREE-011,PITANGA,Eugenia uniflora,6.0,3.95,3.95,0.2196,1.5,4.5,12.27,2.45,5.45,5.0,7.0,medium,
TREE-012,LEUCENA,Leucaena leucocephala,9.5,4.75,4.75,0.3406,3.8,5.7,17.72,3.25,6.25,7.5,11.5,medium,
TREE-013,FICUS,Ficus benjamina,5.5,3.34,3.34,0.1337,1.1,4.4,8.77,1.84,4.84,4.5,6.5,medium,
TREE-014,EUCALIPTO,Eucalyptus sp.,25.0,12.5,12.5,0.9677,10.0,15.0,122.72,10.0,15.0,20.0,30.0,medium,
TREE-015,IPÊ AMARELO,Handroanthus albus,5.0,2.38,2.38,0.1082,1.5,3.5,4.45,0.88,3.88,4.0,6.0,medium,
TREE-016,OITI,Licania tomentosa,9.0,5.21,5.21,0.2897,2.25,6.75,21.36,3.71,6.71,7.0,11.0,medium,
TREE-017,PAINEIRA VERMELHA,Bombax ceiba,13.0,8.6,8.6,0.3438,2.6,10.4,58.02,6.88,10.31,10.5,15.5,medium,
TREE-018,PATA DE VACA,Bauhinia sp.,5.0,2.8,2.8,0.1273,1.5,3.5,6.16,1.3,4.3,4.0,6.0,low,
TREE-019,ANGICO BRANCO,Anadenanthera colubrina,24.5,24.5,24.5,1.6552,4.9,19.6,471.44,19.6,29.4,19.5,29.5,low,DBH 166 cm is a large extrapolation for the adopted height curve; treat the height with caution.
TREE-020,LEUCENA,Leucaena leucocephala,5.5,1.87,1.87,0.1337,2.2,3.3,2.75,0.37,3.37,4.5,6.5,medium,
TREE-021,AMENDOIM DO CAMPO,Platypodium elegans,15.0,15.0,15.0,0.6716,3.0,12.0,176.71,12.0,18.0,12.0,18.0,medium,
TREE-022,PAINEIRA VERMELHA,Bombax ceiba,13.0,8.67,8.67,0.347,2.6,10.4,59.11,6.94,10.41,10.5,15.5,medium,
TREE-023,OITI,Licania tomentosa,8.0,4.41,4.41,0.2451,2.0,6.0,15.29,2.91,5.91,6.5,9.5,medium,
TREE-024,PAINEIRA VERMELHA,Bombax ceiba,13.0,8.43,8.43,0.3374,2.6,10.4,55.88,6.75,10.12,10.5,15.5,medium,
TREE-025,PITANGA,Eugenia uniflora,6.5,4.98,4.98,0.2769,1.62,4.88,19.51,3.48,6.48,5.0,8.0,medium,
TREE-026,PAINEIRA VERMELHA,Bombax ceiba,13.0,8.6,8.6,0.3438,2.6,10.4,58.02,6.88,10.31,10.5,15.5,medium,
TREE-027,COPAÍBA,Copaifera langsdorffii,7.5,3.78,3.78,0.1719,2.25,5.25,11.23,2.28,5.28,6.0,9.0,medium,
TREE-028,PALMEIRA JERIVÁ,Syagrus romanzoffiana,8.5,3.5,3.5,0.1751,4.67,3.83,9.62,2.0,5.0,7.0,10.0,low,"Palm crown estimated from height, not DBH; confidence is low. Field measurement is recommended."
TREE-029,ACEROLA,Malpighia glabra,2.5,0.92,0.92,0.0509,0.62,1.88,0.66,0.0,2.42,2.0,3.0,medium,
TREE-030,PITANGA,Eugenia uniflora,6.0,4.53,4.53,0.2515,1.5,4.5,16.1,3.03,6.03,5.0,7.0,medium,
