tree_id,common_name,scientific_name,perimeter_cm
TREE-001,ANGICO BRANCO,Platypodium elegans,330
TREE-002,COPAÍBA,Copaifera langsdorffii,53
TREE-003,JACARANDÁ MIMOSO,Jacaranda mimosifolia,188
TREE-004,AMENDOIM DO CAMPO,Platypodium elegans,181
TREE-005,IPÊ BRANCO,Tabebuia roseoalba,126
TREE-006,OITI,Licania tomentosa,75
TREE-007,LEUCENA,Leucaena leucocephala,97
TREE-008,ESPÉCIE NÃO IDENTIFICADA,,65
TREE-009,PITANGA,Eugenia uniflora,70
TREE-010,ANGICO BRANCO,Anadenanthera colubrina,156
TREE-011,PITANGA,Eugenia uniflora,69
TREE-012,LEUCENA,Leucaena leucocephala,107
TREE-013,FICUS,Ficus benjamina,42
TREE-014,EUCALIPTO,Eucalyptus sp.,304
TREE-015,IPÊ AMARELO,Handroanthus albus,34
TREE-016,OITI,Licania tomentosa,91
TREE-017,PAINEIRA VERMELHA,Bombax ceiba,108
TREE-018,PATA DE VACA,Bauhinia sp.,40
TREE-019,ANGICO BRANCO,Anadenanthera colubrina,520
TREE-020,LEUCENA,Leucaena leucocephala,42
TREE-021,AMENDOIM DO CAMPO,Platypodium elegans,211
TREE-022,PAINEIRA VERMELHA,Bombax ceiba,109
TREE-023,OITI,Licania tomentosa,77
TREE-024,PAINEIRA VERMELHA,Bombax ceiba,106
TREE-025,PITANGA,Eugenia uniflora,87
TREE-026,PAINEIRA VERMELHA,Bombax ceiba,108
TREE-027,COPAÍBA,Copaifera langsdorffii,54
TREE-028,PALMEIRA JERIVÁ,Syagrus romanzoffiana,55
TREE-029,ACEROLA,Malpighia glabra,16
TREE-030,PITANGA,Eugenia uniflora,79
